I am a student,ฉันเป็นนักเรียน
You are tall,คุณตัวสูง
We are watching television,เรากําลังดูทีวี
They are my parents,พวกเขาเป็นพ่อแม่ของฉัน
He is my teacher,เขาเป็นครูของฉัน
She is my sister,หล่อนเป็นน้องสาวของฉัน
She is reading a book,หล่อนกําลังอ่านหนังสือ
It is very big,มันใหญ่มาก
They are my parents. They love me,พวกเขาเป็นพ่อแม่ของฉัน พวกเขารักฉัน
We love you,พวกเรารักเธอ
They are our parents. They love us,พวกเขาเป็นพ่อแม่ของเรา พวกเขารักเรา
They are my parents. I love them,พวกเขาเป็นพ่อแม่ของฉัน ฉันรักพวกเขา
He is my teacher. I like him,เขาเป็นครูของฉัน ฉันชอบเขา
She is my sister. I love her,หล่อนเป็นพี่สาวของฉัน ฉันรักหล่อน
I like it,ฉันชอบมัน