a bird,นก 1 ตัว
3 birds,นกหลายตัว
a pencil,ดินสอ 1 แท่ง
5 pencils,ดินสอหลายแท่ง
an apple,แอปเปิ้ล 1 ผล
2 apples,แอปเปิ้ลหลายผล
an orange,ส้ม 1 ผล
3 oranges,ส้มหลายผล
a bus,รถบัส 1 คัน
2 buses,รถบัสหลายคัน
a dress,ชุดกระโปรง 1 ตัว
2 dresses,ชุดกระโปรงหลายตัว
a dish,จาน 1 อัน
4 dishes,จานหลายอัน
a toothbrush,แปรงสีฟัน 1 อัน
3 toothbrushes,แปรงสีฟันหลายอัน
an ostrich,นกกระจอกเทศ 1 ตัว
3 ostriches,นกกระจอกเทศหลายตัว
a policeman,ตํารวจ 1 นาย
2 policemen,ตํารวจหลายนาย
a fish,ปลา 1 ตัว
4 fish,ปลาหลายตัว
a sheep,แกะ 1 ตัว
3 sheep,แกะหลายตัว