Where do you live,คุณอาศัยอยู่ที่ไหน?
I live in Bangkok,ฉันอาศัยอยู่ในกรุงเทพมหานคร
How many people are there in your family,ครอบครัวคุณมีกี่คน
There are 4 people in my family,ครอบครัวฉันมี 4 คน
How many brothers and sisters do you have,คุณมีพี่น้องกี่คน?
I have 2 brothers and 1 sister,ฉันมีพี่ชาย 2 คนและน้องสาว 1 คน
What does your father do,พ่อคุณทําอะไร?
My father is a doctor,พ่อฉันเป็นหมอ
What does your mother do,แม่คุณทํางานอะไร?
My mother is a nurse,แม่ฉันเป็นพยาบาล
What do you want to be when youu grow up,คุณอยากเป็นอะไรเมื่อโตขึ้น
I want to be a dentist,ฉันอยากเป็นหมอฟัน