Can you give me that pencil,ช่วยส่งดินสอให้ได้ไหม
May I borrow your ruler,ฉันขอยืมไม้บรรทัดคุณได้ไหม
Would you please help me carry this book,กรุณาช่วยถือหนังสือเล่มนี้ให้หน่อยได้ไหม
Can you help me,คุณพอจะช่วยอะไรฉันได้ไหม
Would you mind opening the window for me,please,กรุณาช่วยเปิดหน้าต่างให้ฉันหน่อยได้ไหม
No problem,ไม่มีปัญหา
Of course,แน่นอน
Certainly,แน่นอน
All right,ได้เลย
I'm really sorry,ฉันขอโทษจริงๆ
I'm sorry I'm afraid I can't,ฉันขอโทษ ฉันเกรงว่าฉันทําไม่ได้
I'm afraid not,ฉันเกรงว่าจะไม่ได้