teacher,คุณครู
doctor,หมอ
nurse,พยาบาล
dentist,หมอฟัน
pharmacist,เภสัชกร
veterinarian,สัตวแพทย์
policeman,ตํารวจ
soldier,ทหาร
postman,บุรุษไปรษณีย์
farmer,เกษตรกร
fisherman,ชาวประมง
gardener,คนสวน
cook,พ่อครัว/แม่ครัว
carpenter,ช่างไม้
receptionist,พนักงานต้อนรับ
translator,ล่าม
guide,มัคคุเทศก์
artist,ศิลปิน
actor,นักแสดงชาย
actress,นักแสดงหญิง
model,นายแบบ/นางแบบ
dancer,นักเต้น
singer,นักร้อง
musician,นักดนตรี
photographer,ช่างภาพ
scientist,นักวิทยาศาสตร์
engineer,วิศวกร
astronaut,นักบินอวกาศ
waiter,พนักงานเสริ์ฟชาย
waitress,พนักงานเสริ์ฟหญิง
bus driver,คนขับรถบัส
taxi driver,คนขับแท็กซี่
building contractor,ผู้รับเหมาก่อสร้าง
traffic cop,ตํารวจจราจร
pilot,นักบิน
air hostess,พนักงานต้อนรับบนเครื่องบินหญิง (แอร์โฮสเตส)
steward,พนักงานต้อนรับบนเครื่องบินผู้ชาย (สจ๊วต)
lawyer,ทนายความ
programmer,โปรแกรมเมอร์
architect,สถาปนิก
secretary,เลขานุการ
news reporter,นักข่าว
seller,พนักงานขาย
cashier,แคชเชียร์
accountant,นักบัญชี
judge,ผู้พิพากษา
politician,นักการเมือง
prime minister,นายกรัฐมนตรี
president,ประธานาธิบดี